artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,rating
Travis Scott,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,99,0.598,0.42700000000000005,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721,4,Hit
Post Malone,Circles,21jGcNKet2qwijlDFuPiPb,100,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.5529999999999999,120.042,215280,4,Hit
Juice WRLD,Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,94,0.474,0.631,5,-5.8839999999999995,0,0.34299999999999997,0.0687,0.0,0.132,0.425,180.051,189323,4,Hit
Selena Gomez,Lose You To Love Me,1HfMVBKM75vxSfsQ5VefZ5,98,0.505,0.34,4,-9.005,1,0.0438,0.5760000000000001,0.0,0.21,0.0916,101.993,206459,4,Hit
blackbear,hot girl bummer,7aiClxsDWFRQ0Kzk5KI5ku,96,0.778,0.5589999999999999,6,-7.109,0,0.0776,0.128,0.0,0.39899999999999997,0.6779999999999999,129.989,185093,1,Hit
YNW Melly,223's (feat. 9lokknine),4sjiIpEv617LDXaidKioOI,92,0.9309999999999999,0.502,0,-9.311,0,0.353,0.0389,0.0,0.0912,0.7120000000000001,94.999,176640,4,Hit
Lizzo,Truth Hurts,5qmq61DAAOUaW8AUo8xKhh,93,0.715,0.624,4,-3.0460000000000003,0,0.114,0.11,0.0,0.12300000000000001,0.41200000000000003,158.08700000000002,173325,4,Hit
Lewis Capaldi,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,96,0.501,0.405,1,-5.678999999999999,1,0.0319,0.7509999999999999,0.0,0.105,0.446,109.891,182161,4,Hit
Dan + Shay,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,96,0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991,167693,4,Hit
Maroon 5,Memories,2b8fOow8UzyDFAE27YhOZM,99,0.764,0.32,11,-7.209,1,0.0546,0.8370000000000001,0.0,0.0822,0.575,91.01899999999999,189486,4,Hit
Kanye West,Follow God,2QpGZOhTCHHiKmpSO9FW4h,93,0.529,0.9,1,-3.503,1,0.418,0.000248,1.21e-05,0.0426,0.434,180.291,104591,4,Hit
NLE Choppa,Camelot,4sWuPniHClkInYAnzXAYUF,90,0.787,0.713,7,-5.252000000000001,1,0.401,0.0849,0.0,0.7170000000000001,0.762,175.041,148759,4,Hit
Young Thug,Hot (feat. Gunna),5Z8HZM6iQMhhqyPcCGY5g9,90,0.855,0.6509999999999999,0,-8.044,0,0.235,0.063,0.0,0.0772,0.5589999999999999,111.99700000000001,193027,4,Hit
Drake,Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,92,0.831,0.502,10,-4.045,0,0.046,0.10099999999999999,0.0,0.122,0.10099999999999999,100.541,205427,4,Hit
