,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Travis Scott,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,99,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721,4
1,Post Malone,Circles,21jGcNKet2qwijlDFuPiPb,100,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4
2,Juice WRLD,Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,94,0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051,189323,4
3,Selena Gomez,Lose You To Love Me,1HfMVBKM75vxSfsQ5VefZ5,98,0.505,0.34,4,-9.005,1,0.0438,0.576,0.0,0.21,0.0916,101.993,206459,4
4,blackbear,hot girl bummer,7aiClxsDWFRQ0Kzk5KI5ku,96,0.778,0.559,6,-7.109,0,0.0776,0.128,0.0,0.399,0.678,129.989,185093,1
5,YNW Melly,223's (feat. 9lokknine),4sjiIpEv617LDXaidKioOI,92,0.931,0.502,0,-9.311,0,0.353,0.0389,0.0,0.0912,0.712,94.999,176640,4
6,Lizzo,Truth Hurts,5qmq61DAAOUaW8AUo8xKhh,93,0.715,0.624,4,-3.046,0,0.114,0.11,0.0,0.123,0.412,158.087,173325,4
7,Lewis Capaldi,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,96,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161,4
8,Dan + Shay,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,96,0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991,167693,4
9,Maroon 5,Memories,2b8fOow8UzyDFAE27YhOZM,99,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,189486,4
10,Kanye West,Follow God,2QpGZOhTCHHiKmpSO9FW4h,93,0.529,0.9,1,-3.503,1,0.418,0.000248,1.21e-05,0.0426,0.434,180.291,104591,4
11,NLE Choppa,Camelot,4sWuPniHClkInYAnzXAYUF,90,0.787,0.713,7,-5.252,1,0.401,0.0849,0.0,0.717,0.762,175.041,148759,4
12,Young Thug,Hot (feat. Gunna),5Z8HZM6iQMhhqyPcCGY5g9,90,0.855,0.651,0,-8.044,0,0.235,0.063,0.0,0.0772,0.559,111.997,193027,4
13,Drake,Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,92,0.831,0.502,10,-4.045,0,0.046,0.101,0.0,0.122,0.101,100.541,205427,4
14,Harry Styles,Lights Up,2plLJpUcYPFrl1sW2pMG63,95,0.585,0.62,3,-8.09,0,0.0327,0.0426,0.00224,0.15,0.281,101.939,172227,4
15,Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott),7CZyCXKG6d5ALeq41sLzbw,93,0.499,0.8,1,-2.665,0,0.0502,0.0906,0.0,0.147,0.272,139.919,229573,4
16,Post Malone,Goodbyes (feat. Young Thug),0t3ZvGKlmYmVsDzBJAXK8C,94,0.548,0.653,5,-3.875,1,0.081,0.456,0.0,0.103,0.163,150.068,174853,4
17,Lil Tecca,Ransom,1lOe9qE0vR9zwWQAOk6CoO,93,0.745,0.642,7,-6.257,0,0.287,0.0204,0.0,0.0658,0.226,179.974,131240,4
18,Billie Eilish,bad guy,2Fxmhks0bxGSBdJ92vM42m,96,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4
19,DaBaby,VIBEZ,0fySG6A6qLE8IvDpayb5bM,88,0.768,0.652,1,-2.708,0,0.307,0.113,0.0,0.107,0.777,154.187,144935,4
20,DaBaby,Suge,2gwkD6igEhQbDQegRCcdoB,88,0.876,0.662,2,-6.482,0,0.426,0.0608,0.0,0.127,0.844,75.445,163320,4
21,DaBaby,BOP,6Ozh9Ok6h4Oi1wUSLtBseN,88,0.769,0.787,11,-3.909,1,0.367,0.189,0.0,0.129,0.836,126.77,159715,4
22,Post Malone,Enemies (feat. DaBaby),0Xek5rqai2jcOWCYWJfVCF,90,0.542,0.674,6,-4.169,1,0.21,0.0588,0.0,0.0955,0.667,76.388,196760,4
23,Sam Smith,How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,96,0.477,0.682,1,-4.931,0,0.0925,0.153,0.0,0.0763,0.345,110.567,202205,5
24,Post Malone,Saint-Tropez,05mDaV9Vb3wrzjF6OPZnhq,92,0.617,0.684,0,-3.618,1,0.0439,0.0545,0.0,0.104,0.295,132.113,150867,4
25,Lil Mosey,Stuck In A Dream (feat. Gunna),5hDAT527wXWNBnJlujhuUs,89,0.753,0.652,10,-5.943,0,0.0753,0.444,0.0,0.117,0.745,139.962,123560,4
26,Lil Nas X,Panini,6fTt0CH2t0mdeB2N9XFG5r,91,0.703,0.594,5,-6.146,0,0.0752,0.342,0.0,0.123,0.475,153.848,114893,4
27,Chris Brown,No Guidance (feat. Drake),6XHVuErjQ4XNm6nDPVCxVX,89,0.698,0.454,1,-6.756,0,0.151,0.123,0.0,0.155,0.137,92.932,260640,4
28,Shawn Mendes,Señorita,0TK2YIli7K1leLovkQiNik,98,0.759,0.54,9,-6.039,0,0.0287,0.037,0.0,0.0945,0.75,116.947,190960,4
29,Y2K,Lalala,51Fjme0JiitpyXKuyQiCDo,96,0.843,0.391,2,-7.899,1,0.0845,0.181,0.0,0.137,0.496,129.972,160627,4
30,Young Thug,Bad Bad Bad (feat. Lil Baby),1GeNui6m825V8jP4uKiIaH,87,0.974,0.596,6,-8.888,1,0.184,0.0976,0.0,0.151,0.892,111.959,149040,4
31,Halsey,Graveyard,6V9fHiv84WlVTg7CSnIVY2,92,0.667,0.583,11,-5.127,0,0.0747,0.231,4.48e-05,0.181,0.187,92.043,181806,4
32,Polo G,Pop Out (feat. Lil Tjay),6uFn47ACjqYkc0jADwEdj1,87,0.772,0.639,1,-7.119,1,0.467,0.15,0.0,0.0698,0.261,168.112,166560,4
33,Mustard,Ballin' (feat. Roddy Ricch),3QzAOrNlsabgbMwlZt7TAY,86,0.809,0.545,7,-6.678,1,0.0735,0.392,0.0,0.151,0.244,97.008,180435,4
34,SHAED,Trampoline (with ZAYN),1iQDltZqI7BXnHrFy4Qo1k,92,0.619,0.459,7,-5.782,0,0.0334,0.56,0.0,0.137,0.498,126.803,184280,4
35,Ed Sheeran,Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,94,0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.548,92.977,197867,4
36,Kanye West,On God,2SasoXZyv82yYgHiVOvxQn,88,0.41,0.886,9,-4.413,0,0.155,0.0671,0.0,0.461,0.393,72.577,136351,4
37,Chance the Rapper,Hot Shower,00ko9WaS4jOX1kEk3gvHjf,85,0.897,0.522,2,-7.578,1,0.374,0.0016,0.0,0.0554,0.623,149.986,225924,4
38,Camila Cabello,Liar,7LzouaWGFCy4tkXDOOnEyM,94,0.74,0.498,11,-6.684,0,0.0456,0.0169,0.00282,0.319,0.652,98.016,207039,4
39,Kanye West,Closed On Sunday,3JWiDGQX2eTlFvKj3Yssj3,88,0.799,0.291,11,-7.353,0,0.0318,0.873,0.000641,0.139,0.406,97.984,151873,4
40,J. Cole,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,87,0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984,213594,4
41,Selena Gomez,Look At Her Now,4yI3HpbSFSgFZtJP2kDe5m,92,0.563,0.564,10,-7.906,0,0.271,0.114,0.0254,0.304,0.55,154.355,162596,5
42,Post Malone,Hollywood's Bleeding,7sWRlDoTDX8geTR8zzr2vt,90,0.405,0.646,4,-3.206,0,0.0476,0.331,0.0,0.103,0.17,130.218,156267,4
43,Arizona Zervas,ROXANNE,1ZPWWSwCkxKfqdp4H0RFCo,87,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,163636,5
44,YoungBoy Never Broke Again,Make No Sense,6klLvorLoo1sxvZcjJIY8I,85,0.876,0.733,10,-4.478,0,0.333,0.0208,0.0,0.0999,0.962,154.904,148630,4
