popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
99.0,0.598,0.4270000000000001,7.0,-8.764,0.0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721.0,4.0
100.0,0.695,0.762,0.0,-3.497,1.0,0.0395,0.192,0.00244,0.0863,0.5529999999999999,120.042,215280.0,4.0
94.0,0.474,0.631,5.0,-5.884,0.0,0.343,0.0687,0.0,0.132,0.425,180.051,189323.0,4.0
98.0,0.505,0.34,4.0,-9.005,1.0,0.0438,0.5760000000000001,0.0,0.21,0.0916,101.993,206459.0,4.0
96.0,0.778,0.5589999999999999,6.0,-7.109,0.0,0.0776,0.128,0.0,0.399,0.6779999999999999,129.989,185093.0,1.0
92.0,0.931,0.502,0.0,-9.311,0.0,0.353,0.0389,0.0,0.0912,0.7120000000000001,94.999,176640.0,4.0
93.0,0.715,0.624,4.0,-3.0460000000000003,0.0,0.114,0.11,0.0,0.123,0.412,158.08700000000005,173325.0,4.0
96.0,0.501,0.405,1.0,-5.6789999999999985,1.0,0.0319,0.7509999999999999,0.0,0.105,0.446,109.891,182161.0,4.0
96.0,0.654,0.63,10.0,-4.644,1.0,0.0259,0.153,0.0,0.111,0.43,89.991,167693.0,4.0
99.0,0.764,0.32,11.0,-7.209,1.0,0.0546,0.8370000000000001,0.0,0.0822,0.575,91.019,189486.0,4.0
93.0,0.529,0.9,1.0,-3.503,1.0,0.418,0.000248,1.21e-05,0.0426,0.434,180.291,104591.0,4.0
90.0,0.787,0.713,7.0,-5.252000000000002,1.0,0.401,0.0849,0.0,0.7170000000000001,0.762,175.041,148759.0,4.0
90.0,0.855,0.6509999999999999,0.0,-8.044,0.0,0.235,0.063,0.0,0.0772,0.5589999999999999,111.997,193027.0,4.0
92.0,0.831,0.502,10.0,-4.045,0.0,0.046,0.101,0.0,0.122,0.101,100.541,205427.0,4.0
95.0,0.585,0.62,3.0,-8.09,0.0,0.0327,0.0426,0.00224,0.15,0.281,101.939,172227.0,4.0
93.0,0.499,0.8,1.0,-2.665,0.0,0.0502,0.0906,0.0,0.147,0.272,139.91899999999998,229573.0,4.0
94.0,0.5479999999999999,0.653,5.0,-3.875,1.0,0.081,0.456,0.0,0.103,0.163,150.06799999999996,174853.0,4.0
93.0,0.745,0.642,7.0,-6.2570000000000014,0.0,0.287,0.0204,0.0,0.0658,0.226,179.97400000000005,131240.0,4.0
96.0,0.701,0.425,7.0,-10.965,1.0,0.375,0.328,0.13,0.1,0.562,135.128,194088.0,4.0
88.0,0.768,0.652,1.0,-2.708,0.0,0.307,0.113,0.0,0.107,0.777,154.187,144935.0,4.0
